Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año],Energía [kWh/año],Emisiones CO2 [Ton/días]
Pubenza psr2,Solar,50.0,Bogotá d.c.,Bogotá d.c.,11,11001,2023-12-31,240000.0,41618,187500000000.0,348,70080.0,87600000.0,192.0
Sabanalarga,Solar,200.0,Atlántico,Sabanalarga,8,8638,2024-04-09,960000.0,166474,750000000000.0,1392,280320.0,350400000.0,768.0
Parque solar fotovoltaico fundación,Solar,99.0,Magdalena,Fundación,47,47288,2024-06-30,475200.0,82405,371250000000.0,689,138758.0,173448000.0,380.15890410958906
Tuluá,Solar,13.3,Valle del cauca,Tuluá,76,76834,2022-04-30,63840.0,11071,57190000000.0,93,18641.0,23301600.0,51.07123287671233
Parque fotovoltaico montelíbano solar,Solar,9.9,Córdoba,"""""",23,23,2022-10-30,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Buga 1 parte 2,Solar,5.94,Valle del cauca,"""""",76,76,2022-12-31,28512.0,4944,22275000000.0,41,8326.0,10406880.0,22.81095890410959
Buga 1 parte 1,Solar,3.96,Valle del cauca,"""""",76,76,2022-07-31,19008.0,3296,14850000000.0,28,5550.0,6937920.0,15.205479452054794
Refinería grb,Solar,21.0,Santander,Barrancabermeja,68,68081,2023-12-31,100800.0,17480,78750000000.0,146,29434.0,36792000.0,80.64109589041095
Emsa gd y ag (34 proyectos),Solar,1.9,Meta,Villavicencio,50,50001,2022-05-31,9120.0,1582,8170000000.0,13,2663.0,3328800.0,7.295890410958904
Enelar gd y ag (4 proyectos),Solar,0.11,Arauca,Arauca,81,81001,2022-05-31,528.0,92,473000000.0,1,154.0,192720.0,0.42191780821917807
