Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2024-07-01,Not Specified,0,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5689.6188,GWh,7,2024
Colombia,Total Imports,2024-07-01,Electricity,0.2127,GWh,7,2024
Colombia,Total Exports,2024-07-01,Electricity,48.7467,GWh,7,2024
Colombia,Distribution Losses,2024-07-01,Electricity,505.9159,GWh,7,2024
Colombia,Final Consumption (Calculated),2024-07-01,Electricity,6964.1351,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,Wind,19.4134,GWh,7,2024
Colombia,Net Electricity Production,2024-06-01,Electricity,7113.4004,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Hydro,4782.4425,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Total Combustible Fuels,2052.0857,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,"Coal, Peat and Manufactured Gases",672.3583,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Oil and Petroleum Products,285.3431,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Natural Gas,864.7558,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Combustible Renewables,229.6286,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Solar,263.9113,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Not Specified,0,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5290.9433,GWh,6,2024
Colombia,Total Imports,2024-06-01,Electricity,12.5651,GWh,6,2024
Colombia,Total Exports,2024-06-01,Electricity,15.8908,GWh,6,2024
Colombia,Distribution Losses,2024-06-01,Electricity,438.8448,GWh,6,2024
Colombia,Final Consumption (Calculated),2024-06-01,Electricity,6671.2299,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Wind,14.9609,GWh,6,2024
Colombia,Net Electricity Production,2024-05-01,Electricity,7530.3427,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Hydro,5223.6676,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Total Combustible Fuels,2020.9492,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,"Coal, Peat and Manufactured Gases",599.7461,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Oil and Petroleum Products,290.7191,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Natural Gas,900.9233,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Combustible Renewables,229.5607,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Solar,269.1145,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Not Specified,0,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5738.9542,GWh,5,2024
Colombia,Total Imports,2024-05-01,Electricity,0.0754,GWh,5,2024
Colombia,Total Exports,2024-05-01,Electricity,44.7083,GWh,5,2024
Colombia,Distribution Losses,2024-05-01,Electricity,506.1402,GWh,5,2024
Colombia,Final Consumption (Calculated),2024-05-01,Electricity,6979.5696,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Wind,16.6115,GWh,5,2024
Colombia,Net Electricity Production,2024-04-01,Electricity,7047.6606,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Hydro,3106.599,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Total Combustible Fuels,3656.7382,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,"Coal, Peat and Manufactured Gases",1101.4137,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Oil and Petroleum Products,327.4347,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Natural Gas,1998.2449,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Combustible Renewables,229.6449,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Solar,265.6866,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Not Specified,0,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",3620.5673,GWh,4,2024
Colombia,Total Imports,2024-04-01,Electricity,0.076,GWh,4,2024
Colombia,Total Exports,2024-04-01,Electricity,35.7886,GWh,4,2024
Colombia,Distribution Losses,2024-04-01,Electricity,504.6685,GWh,4,2024
Colombia,Final Consumption (Calculated),2024-04-01,Electricity,6507.2796,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Wind,18.6368,GWh,4,2024
Colombia,Net Electricity Production,2024-03-01,Electricity,7566.8364,GWh,3,2024
Colombia,Net Electricity Production,2024-03-01,Hydro,3727.789,GWh,3,2024
Colombia,Net Electricity Production,2024-03-01,Total Combustible Fuels,3553.4983,GWh,3,2024
Colombia,Net Electricity Production,2024-03-01,"Coal, Peat and Manufactured Gases",1176.129,GWh,3,2024
Colombia,Net Electricity Production,2024-03-01,Oil and Petroleum Products,291.4895,GWh,3,2024
Colombia,Net Electricity Production,2024-03-01,Natural Gas,1856.2124,GWh,3,2024
