Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2020-08-01,Wind,1.9438,GWh,8,2020
Colombia,Net Electricity Production,2020-07-01,Hydro,4539.0598,GWh,7,2020
Colombia,Net Electricity Production,2020-07-01,Combustible Renewables,173.7704,GWh,7,2020
Colombia,Net Electricity Production,2020-07-01,Geothermal,0.0,GWh,7,2020
Colombia,Net Electricity Production,2020-07-01,Solar,14.5587,GWh,7,2020
Colombia,Net Electricity Production,2020-07-01,Other Renewables,0.0,GWh,7,2020
Colombia,Net Electricity Production,2020-07-01,Wind,0.0055,GWh,7,2020
Colombia,Net Electricity Production,2020-06-01,Hydro,3340.1844,GWh,6,2020
Colombia,Net Electricity Production,2020-06-01,Combustible Renewables,173.7699,GWh,6,2020
Colombia,Net Electricity Production,2020-06-01,Geothermal,0.0,GWh,6,2020
Colombia,Net Electricity Production,2020-06-01,Solar,14.0645,GWh,6,2020
Colombia,Net Electricity Production,2020-06-01,Other Renewables,0.0,GWh,6,2020
Colombia,Net Electricity Production,2020-06-01,Wind,0.0,GWh,6,2020
Colombia,Net Electricity Production,2020-05-01,Hydro,3292.8169,GWh,5,2020
Colombia,Net Electricity Production,2020-05-01,Combustible Renewables,173.7686,GWh,5,2020
Colombia,Net Electricity Production,2020-05-01,Geothermal,0.0,GWh,5,2020
Colombia,Net Electricity Production,2020-05-01,Solar,15.3801,GWh,5,2020
Colombia,Net Electricity Production,2020-05-01,Other Renewables,0.0,GWh,5,2020
Colombia,Net Electricity Production,2020-05-01,Wind,0.0,GWh,5,2020
Colombia,Net Electricity Production,2020-04-01,Hydro,3362.9603,GWh,4,2020
Colombia,Net Electricity Production,2020-04-01,Combustible Renewables,173.7692,GWh,4,2020
Colombia,Net Electricity Production,2020-04-01,Geothermal,0.0,GWh,4,2020
Colombia,Net Electricity Production,2020-04-01,Solar,15.0527,GWh,4,2020
Colombia,Net Electricity Production,2020-04-01,Other Renewables,0.0,GWh,4,2020
Colombia,Net Electricity Production,2020-04-01,Wind,0.0,GWh,4,2020
Colombia,Net Electricity Production,2020-03-01,Hydro,3679.0366,GWh,3,2020
Colombia,Net Electricity Production,2020-03-01,Combustible Renewables,173.7703,GWh,3,2020
Colombia,Net Electricity Production,2020-03-01,Geothermal,0.0,GWh,3,2020
Colombia,Net Electricity Production,2020-03-01,Solar,16.2958,GWh,3,2020
Colombia,Net Electricity Production,2020-03-01,Other Renewables,0.0,GWh,3,2020
